category_link,subcategory_link,listing_title,listing_price,listing_vendor,listing_item,listing_link,subcategory_id,subcategory2_id,detail_name,detail_qty_sold,detail_price,pagination_link,category_id
Drugs & Chemicals,Benzos,3.5g Etizolam - USA DOMESTIC - Great Quality - FREE PRIORITY SHIPPING,"Buy price
USD 120.00
(0.0943 BTC)",couponbuyer123,"Views: 163 / Bids: Fixed price
Quantity left: 9",3.5g Etizolam - USA DOMESTIC - Great Quality - FREE PRIORITY SHIPPING,Benzos,RC,3.5g Etizolam - USA DOMESTIC - Great Quality - FRE...,"Sold by couponbuyer123 -
4 sold since Feb 11, 2017ë_ë_Vendor Level 1ë_Trust Level 5",Purchase price: USD 120.00,4,Drugs & Chemicals
Drugs & Chemicals,Benzos,50g Flubromazepam - High Quality,"Buy price
USD 697.00
(0.5472 BTC)",BenzoChems,"Views: 204 / Bids: Fixed price
Quantity left: Unlimited",50g Flubromazepam - High Quality,Benzos,RC,50g Flubromazepam - High Quality,"Sold by BenzoChems -
0 sold since Oct 13, 2016ë_ë_Vendor Level 8ë_Trust Level 6",Purchase price: USD 697.00,10,Drugs & Chemicals
Drugs & Chemicals,Benzos,1 POUND / 16oz SOUR DIESEL from Omega chemist,"Buy price
USD 1,600.00
(1.2562 BTC)",omegachemist,"Views: 140 / Bids: Fixed price
Quantity left: Unlimited",1 POUND / 16oz SOUR DIESEL from Omega chemist,Benzos,RC,1 POUND / 16oz SOUR DIESEL from Omega chemist,"Sold by omegachemist -
0 sold since Dec 20, 2016ë_ë_Vendor Level 1ë_Trust Level 4","Purchase price: USD 1,600.00",11,Drugs & Chemicals
Drugs & Chemicals,Benzos,500mg Milligram Clonazolam,"Buy price
USD 35.00
(0.0275 BTC)",chemistofresearch,"Views: 404 / Bids: Fixed price
Quantity left: Unlimited",500mg Milligram Clonazolam,Benzos,RC,500mg Milligram Clonazolam,"Sold by chemistofresearch -
3 sold since Aug 10, 2016ë_ë_Vendor Level 1ë_Trust Level 3",Purchase price: USD 35.00,5,Drugs & Chemicals
Drugs & Chemicals,Benzos,DogeMarket PreBeta Invitation,"Buy price
USD 99,999.00
(78.5094 BTC)",Comboseller,"Views: 317 / Bids: Fixed price
Quantity left: Unlimited",DogeMarket PreBeta Invitation,Benzos,RC,DogeMarket PreBeta Invitation,"Sold by Comboseller -
0 sold since Dec 14, 2015ë_ë_Vendor Level 1ë_Trust Level 3","Purchase price: USD 99,999.00",12,Drugs & Chemicals
Drugs & Chemicals,Benzos,100x Flubromazolam Blotter 500mcg,"Buy price
USD 120.00
(0.0943 BTC)",Fappylicious,null,100x Flubromazolam Blotter 500mcg,Benzos,RC,100x Flubromazolam Blotter 500mcg,"Sold by Fappylicious -
2 sold since Nov 15, 2015ë_ë_Vendor Level 2ë_Trust Level 4",Purchase price: USD 120.00,6,Drugs & Chemicals
Drugs & Chemicals,Benzos,3-FPM HCI 50 gram,"Buy price
USD 516.82
(0.4058 BTC)",rgn,"Views: 407 / Bids: Fixed price
Quantity left: Unlimited",3-FPM HCI 50 gram,Benzos,RC,3-FPM HCI 50 gram,"Sold by rgn -
1 sold since May 28, 2016ë_ë_Vendor Level 7ë_Trust Level 6",Purchase price: USD 516.82,8,Drugs & Chemicals
Drugs & Chemicals,Benzos,1g Flubromazepam - High Quality,"Buy price
USD 47.00
(0.0370 BTC)",BenzoChems,"Views: 444 / Bids: Fixed price
Quantity left: Unlimited",1g Flubromazepam - High Quality,Benzos,RC,1g Flubromazepam - High Quality,"Sold by BenzoChems -
3 sold since Oct 13, 2016ë_ë_Vendor Level 8ë_Trust Level 6",Purchase price: USD 47.00,5,Drugs & Chemicals
Drugs & Chemicals,Benzos,50g Furanylfentanyl (High Purity),"Buy price
USD 559.97
(0.4403 BTC)",montfort,null,50g Furanylfentanyl (High Purity),Benzos,RC,50g Furanylfentanyl (High Purity),"Sold by montfort -
3 sold since May 6, 2016ë_ë_Vendor Level 6ë_Trust Level 7",Purchase price: USD 559.97,5,Drugs & Chemicals
Drugs & Chemicals,Benzos,25g Clonazolam (replaces clonazepam),"Buy price
USD 1,497.00
(1.1753 BTC)",BenzoChems,"Views: 164 / Bids: Fixed price
Quantity left: Unlimited",25g Clonazolam (replaces clonazepam),Benzos,RC,25g Clonazolam (replaces clonazepam),"Sold by BenzoChems -
0 sold since Dec 9, 2016ë_ë_Vendor Level 8ë_Trust Level 6","Purchase price: USD 1,497.00",10,Drugs & Chemicals
